"idmutation";"idmutinvar";"idopendata";"idnatmut";"codservch";"refdoc";"datemut";"anneemut";"moismut";"coddep";"libnatmut";"vefa";"valeurfonc";"nbdispo";"nblot";"nbcomm";"l_codinsee";"nbsection";"l_section";"nbpar";"l_idpar";"nbparmut";"l_idparmut";"nbsuf";"sterr";"nbvolmut";"nblocmut";"l_idlocmut";"nblocmai";"nblocapt";"nblocdep";"nblocact";"nbapt1pp";"nbapt2pp";"nbapt3pp";"nbapt4pp";"nbapt5pp";"nbmai1pp";"nbmai2pp";"nbmai3pp";"nbmai4pp";"nbmai5pp";"sbati";"sbatmai";"sbatapt";"sbatact";"sapt1pp";"sapt2pp";"sapt3pp";"sapt4pp";"sapt5pp";"smai1pp";"smai2pp";"smai3pp";"smai4pp";"smai5pp";"codtypbien";"libtypbien"
3076828;"000308cdae3ca2e4f5abee5bb0776404";"000308cdae3ca2e4f5abee5bb0776404";2;;;"2017-06-13";2017;6;44;"Vente en l'état futur d'achèvement";"True";173000;1;2;1;"['44204']";1;"['AD']";1;"['44204000AD0258']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3076861;"036f675942c9633fefb33bc638f1a12e";"036f675942c9633fefb33bc638f1a12e";1;;;"2017-10-11";2017;10;44;"Vente";"False";116804;1;0;1;"['44204']";1;"['AD']";1;"['44204000AD0278']";1;"['44204000AD0278']";1;451;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3077125;"7440d208515757d0811fdbdea056665d";"7440d208515757d0811fdbdea056665d";2;;;"2017-09-12";2017;9;44;"Vente en l'état futur d'achèvement";"True";149500;1;3;1;"['44204']";1;"['AD']";1;"['44204000AD0267']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3077234;"9537d901d23e14c2d988dbabeb6624f3";"9537d901d23e14c2d988dbabeb6624f3";1;;;"2017-10-19";2017;10;44;"Vente";"False";66240;1;0;1;"['44204']";1;"['AE']";1;"['44204000AE0054']";1;"['44204000AE0054']";1;3312;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2313;"TERRAIN DE TYPE TERRE ET PRE"
3077251;"4cc97f0a63d92e7818cf3a26c3a8483c";"4cc97f0a63d92e7818cf3a26c3a8483c";1;;;"2017-10-23";2017;10;44;"Vente";"False";232000;1;0;1;"['44204']";1;"['AM']";1;"['44204000AM0138']";1;"['44204000AM0138']";1;828;0;1;"['442040003641230_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;103;103;0;0;0;0;0;0;0;0;0;0;0;103;111;"UNE MAISON"
3116564;"08c9a64f662b540b799ac4db0396cdfe";"08c9a64f662b540b799ac4db0396cdfe";1;;;"2016-11-19";2016;11;44;"Vente";"False";200000;1;0;1;"['44204']";1;"['AE']";1;"['44204000AE0043']";1;"['44204000AE0043']";1;781;0;1;"['442040003718832_0']";1;0;0;0;0;0;0;0;0;0;0;1;0;0;80;80;0;0;0;0;0;0;0;0;0;80;0;0;111;"UNE MAISON"
3077543;"48ad0904063319f0d377d913af14c473";"48ad0904063319f0d377d913af14c473";1;;;"2017-01-17";2017;1;44;"Vente";"False";210000;1;0;1;"['44204']";1;"['AN']";1;"['44204000AN0397']";1;"['44204000AN0397']";1;731;0;1;"['442040003632593_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;122;122;0;0;0;0;0;0;0;0;0;0;0;122;111;"UNE MAISON"
3077549;"f6b1ac043b38a0945aa5cc2ed9656216";"f6b1ac043b38a0945aa5cc2ed9656216";2;;;"2017-06-06";2017;6;44;"Vente en l'état futur d'achèvement";"True";192500;1;1;1;"['44204']";1;"['AY']";2;"['44204000AY0395', '44204000AY0413']";1;"['44204000AY0413']";1;11;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3077621;"902c435c68f135263bf1493e5264812c";"902c435c68f135263bf1493e5264812c";1;;;"2017-12-27";2017;12;44;"Vente";"False";219000;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0465']";0;"None";0;0;0;2;"['442040003643397_0', '442040003643398_0']";0;1;1;0;0;0;1;0;0;0;0;0;0;0;64;0;64;0;0;0;64;0;0;0;0;0;0;0;121;"UN APPARTEMENT"
3077691;"51d0fc0b13cd34ea421d8c2c5b623686";"51d0fc0b13cd34ea421d8c2c5b623686";2;;;"2017-11-29";2017;11;44;"Vente en l'état futur d'achèvement";"True";148500;1;1;1;"['44204']";1;"['AY']";2;"['44204000AY0395', '44204000AY0425']";1;"['44204000AY0425']";1;12;0;1;"['442040003642247_0']";0;1;0;0;0;1;0;0;0;0;0;0;0;0;39;0;39;0;0;39;0;0;0;0;0;0;0;0;121;"UN APPARTEMENT"
3077706;"36670b3f53ca3f7ea9706d0f6302e4bc";"36670b3f53ca3f7ea9706d0f6302e4bc";1;;;"2017-01-27";2017;1;44;"Vente";"False";355000;1;0;1;"['44204']";1;"['AT']";1;"['44204000AT0061']";1;"['44204000AT0061']";2;1661;0;1;"['442040003632911_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;150;150;0;0;0;0;0;0;0;0;0;0;0;150;111;"UNE MAISON"
3077864;"58ebd41b520095cd1b43e721002ba687";"58ebd41b520095cd1b43e721002ba687";1;;;"2017-02-03";2017;2;44;"Vente";"False";;1;0;1;"['44204']";1;"['AN']";3;"['44204000AN0551', '44204000AN0556', '44204000AN0557']";3;"['44204000AN0551', '44204000AN0556', '44204000AN0557']";3;2197;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3077905;"f5a2af2b7ff2db02bc8fbb28da64cb59";"f5a2af2b7ff2db02bc8fbb28da64cb59";1;;;"2017-05-23";2017;5;44;"Vente";"False";240000;1;0;1;"['44204']";1;"['AK']";13;"['44204000AK0240', '44204000AK0284', '44204000AK0285', '44204000AK0286', '44204000AK0287', '44204000AK0288', '44204000AK0289', '44204000AK0290', '44204000AK0291', '44204000AK0292', '44204000AK0293', '44204000AK0294', '44204000AK0295']";13;"['44204000AK0240', '44204000AK0284', '44204000AK0285', '44204000AK0286', '44204000AK0287', '44204000AK0288', '44204000AK0289', '44204000AK0290', '44204000AK0291', '44204000AK0292', '44204000AK0293', '44204000AK0294', '44204000AK0295']";13;5344;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3078055;"70e37272f4fbf9ecf4865ff33b577117";"70e37272f4fbf9ecf4865ff33b577117";2;;;"2017-01-18";2017;1;44;"Vente en l'état futur d'achèvement";"True";219000;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0466']";0;"None";0;0;0;2;"['442040003632514_0', '442040003632515_0']";0;1;1;0;0;0;1;0;0;0;0;0;0;0;63;0;63;0;0;0;63;0;0;0;0;0;0;0;121;"UN APPARTEMENT"
3078057;"ad19e94fb479af8ea87d222c11d411ae";"ad19e94fb479af8ea87d222c11d411ae";2;;;"2017-10-06";2017;10;44;"Vente en l'état futur d'achèvement";"True";215000;1;1;1;"['44204']";1;"['AY']";3;"['44204000AY0395', '44204000AY0408', '44204000AY0409']";2;"['44204000AY0408', '44204000AY0409']";2;22;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3078059;"905cd2b095abd0b16609f1ca5593aa87";"905cd2b095abd0b16609f1ca5593aa87";2;;;"2017-06-15";2017;6;44;"Vente en l'état futur d'achèvement";"True";161000;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0465']";0;"None";0;0;0;2;"['442040003636556_0', '442040003636557_0']";0;1;1;0;0;1;0;0;0;0;0;0;0;0;45;0;45;0;0;45;0;0;0;0;0;0;0;0;121;"UN APPARTEMENT"
3078186;"a6e8c287526b822528d2a6e68ad34bf9";"a6e8c287526b822528d2a6e68ad34bf9";1;;;"2017-12-09";2017;12;44;"Vente";"False";190000;1;0;1;"['44204']";1;"['AT']";1;"['44204000AT0251']";1;"['44204000AT0251']";1;671;0;1;"['442040003642771_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;100;100;0;0;0;0;0;0;0;0;0;0;0;100;111;"UNE MAISON"
3078284;"2f6a729b8ee558ab66c3a60476c52dad";"2f6a729b8ee558ab66c3a60476c52dad";1;;;"2017-07-26";2017;7;44;"Vente";"False";270000;1;0;1;"['44204']";1;"['BC']";1;"['44204000BC0312']";1;"['44204000BC0312']";2;635;0;1;"['442040003638179_0']";1;0;0;0;0;0;0;0;0;0;0;0;1;0;102;102;0;0;0;0;0;0;0;0;0;0;102;0;111;"UNE MAISON"
3078318;"f0dc6327da3de3cd6d38185345152f38";"f0dc6327da3de3cd6d38185345152f38";2;;;"2017-01-16";2017;1;44;"Vente en l'état futur d'achèvement";"True";210000;1;2;1;"['44204']";1;"['BA']";1;"['44204000BA0466']";0;"None";0;0;0;2;"['442040003632422_0', '442040003632423_0']";0;1;1;0;0;0;1;0;0;0;0;0;0;0;63;0;63;0;0;0;63;0;0;0;0;0;0;0;121;"UN APPARTEMENT"
3078521;"211520c18a5d0cd70c6c1855a6db7715";"211520c18a5d0cd70c6c1855a6db7715";1;;;"2017-03-23";2017;3;44;"Vente";"False";15000;1;1;1;"['44204']";1;"['AZ']";1;"['44204000AZ0196']";0;"None";0;0;0;1;"['442040003634357_0']";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;131;"UNE DEPENDANCE"
3078768;"c992ffa9f30c29858d627c609df3b439";"c992ffa9f30c29858d627c609df3b439";1;;;"2017-11-02";2017;11;44;"Vente";"False";275510;1;0;1;"['44204']";1;"['BC']";1;"['44204000BC0059']";1;"['44204000BC0059']";1;430;0;1;"['442040003641325_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;128;128;0;0;0;0;0;0;0;0;0;0;0;128;111;"UNE MAISON"
3079031;"dfcf3626355b7de8ca732933ffd78ac9";"dfcf3626355b7de8ca732933ffd78ac9";1;;;"2017-06-15";2017;6;44;"Vente";"False";80000;1;0;1;"['44204']";1;"['AK']";1;"['44204000AK0255']";1;"['44204000AK0255']";1;245;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3079224;"79044c8a6f56ab4491519c395077d58b";"79044c8a6f56ab4491519c395077d58b";1;;;"2017-12-15";2017;12;44;"Vente";"False";205000;1;0;1;"['44204']";1;"['AH']";1;"['44204000AH0140']";1;"['44204000AH0140']";1;368;0;1;"['442040003643167_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;147;147;0;0;0;0;0;0;0;0;0;0;0;147;111;"UNE MAISON"
3079295;"ecbf1ac74a3f9df57fbf9c5bd5016e08";"ecbf1ac74a3f9df57fbf9c5bd5016e08";1;;;"2017-05-30";2017;5;44;"Vente";"False";75000;1;0;1;"['44204']";1;"['AX']";1;"['44204000AX0269']";1;"['44204000AX0269']";1;445;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;"TERRAIN DE TYPE TAB"
3079556;"96f50a759a500aeec5ff70abf75671d9";"96f50a759a500aeec5ff70abf75671d9";2;;;"2017-09-19";2017;9;44;"Vente en l'état futur d'achèvement";"True";151500;1;3;1;"['44204']";1;"['AD']";1;"['44204000AD0267']";0;"None";0;0;0;0;"None";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;"BATI - INDETERMINE : Vefa sans descriptif"
3079924;"368d045d39037108ddd5e5b67e999536";"368d045d39037108ddd5e5b67e999536";1;;;"2017-07-10";2017;7;44;"Vente";"False";381000;1;0;1;"['44204']";1;"['AI']";1;"['44204000AI0253']";1;"['44204000AI0253']";1;681;0;1;"['442040003638095_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;200;200;0;0;0;0;0;0;0;0;0;0;0;200;111;"UNE MAISON"
3080020;"6d792c92e626f4bf370047fd37f8ddc9";"6d792c92e626f4bf370047fd37f8ddc9";1;;;"2017-06-29";2017;6;44;"Vente";"False";320000;1;0;1;"['44204']";1;"['AI']";1;"['44204000AI0177']";1;"['44204000AI0177']";1;480;0;1;"['442040003637808_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;135;135;0;0;0;0;0;0;0;0;0;0;0;135;111;"UNE MAISON"
3080369;"a7372f68645051853a28ca60e8aba55d";"a7372f68645051853a28ca60e8aba55d";1;;;"2017-01-26";2017;1;44;"Vente";"False";343000;1;0;1;"['44204']";1;"['AN']";1;"['44204000AN0186']";1;"['44204000AN0186']";2;768;0;1;"['442040003632739_0']";1;0;0;0;0;0;0;0;0;0;0;0;0;1;227;227;0;0;0;0;0;0;0;0;0;0;0;227;111;"UNE MAISON"
